active,item_id,name,brand,category,price,original_price,discount,badge,specs,keywords,variants,link_shopee,in_stock,updated_at
True,44512305208,[MỚI] Nước lau sàn Oplus Hương sả chanh Khử mùi sạch bóng sàn gỗ gạch men Can 1kg 3.6kg,Oplus,Nước lau sàn,34450,53000,0.35,NEW_ARRIVAL,[MỚI] Nước lau sàn Oplus Hương sả chanh Khử mùi sạch bóng sàn gỗ gạch men Can 1kg 3.6kg,moi nhat; moi ra; nước lau sàn; oplus,Oplus,https://shopee.vn/-MỚI-Nước-lau-sàn-Oplus-Hương-sả-chanh-Khử-mùi-sạch-bóng-sàn-gỗ-gạch-men-Can-1kg-3.6kg-i.20523065.44512305208,True,2026-08-18 00:00:00
True,42923415834,Nước giặt Pano Active combo 2 túi 1.8kg tặng nước rửa chén 200g hương nước hoa Pháp giặt tay giặt máy sạch sâu,PANO,Nước giặt,147582,238035,0.38,NEW_ARRIVAL,Nước giặt Pano Active combo 2 túi 1.8kg tặng nước rửa chén 200g hương nước hoa Pháp giặt tay giặt máy sạch sâu,1.8kg; active; moi nhat; moi ra; nước giặt; pano,PANO,https://shopee.vn/Nước-giặt-Pano-Active-combo-2-túi-1.8kg-tặng-nước-rửa-chén-200g-hương-nước-hoa-Pháp-giặt-tay-giặt-máy-sạch-sâu-i.20523065.42923415834,True,2026-08-18 00:00:00
True,44123415679,Nước giặt Pano Fresh combo 2 gói 1 8kg tặng 1 nước rửa chén 200g hương hoa trắng giặt tay giặt máy sạch sâu vết bẩn,PANO,Nước giặt,115795,241239,0.52,NEW_ARRIVAL,Nước giặt Pano Fresh combo 2 gói 1 8kg tặng 1 nước rửa chén 200g hương hoa trắng giặt tay giặt máy sạch sâu vết bẩn,fresh; moi nhat; moi ra; nước giặt; pano,PANO,https://shopee.vn/Nước-giặt-Pano-Fresh-combo-2-gói-1-8kg-tặng-1-nước-rửa-chén-200g-hương-hoa-trắng-giặt-tay-giặt-máy-sạch-sâu-vết-bẩn-i.20523065.44123415679,True,2026-08-18 00:00:00
True,27492729899,Combo 2 túi Nước giặt Pano Warmish 1.8kg hương táo dứa hoa nhài sạch sâu vết bẩn tặng nước rửa chén 400g,PANO,Nước giặt,147582,238035,0.38,NEW_ARRIVAL,Combo 2 túi Nước giặt Pano Warmish 1.8kg hương táo dứa hoa nhài sạch sâu vết bẩn tặng nước rửa chén 400g,1.8kg; moi nhat; moi ra; nước giặt; pano; warmish,PANO,https://shopee.vn/Combo-2-túi-Nước-giặt-Pano-Warmish-1.8kg-hương-táo-dứa-hoa-nhài-sạch-sâu-vết-bẩn-tặng-nước-rửa-chén-400g-i.20523065.27492729899,True,2026-08-18 00:00:00
True,40473414417,Nước giặt Pano Elegant 2 túi 1.8kg tặng nước rửa chén 200g hương nước hoa Pháp giặt tay giặt máy sạch sâu thơm lâu,PANO,Nước giặt,147582,238035,0.38,NEW_ARRIVAL,Nước giặt Pano Elegant 2 túi 1.8kg tặng nước rửa chén 200g hương nước hoa Pháp giặt tay giặt máy sạch sâu thơm lâu,1.8kg; elegant; moi nhat; moi ra; nước giặt; pano,PANO,https://shopee.vn/Nước-giặt-Pano-Elegant-2-túi-1.8kg-tặng-nước-rửa-chén-200g-hương-nước-hoa-Pháp-giặt-tay-giặt-máy-sạch-sâu-thơm-lâu-i.20523065.40473414417,True,2026-08-18 00:00:00
True,56612838999,Nước xả vải Nano Clean ZeO Hương hoa trắng xạ hương Mềm vải giảm nhăn thơm lâu Can 1kg 3.8kg,ZeO,Nước xả vải,83200,128000,0.35,STANDARD,Nước xả vải Nano Clean ZeO Hương hoa trắng xạ hương Mềm vải giảm nhăn thơm lâu Can 1kg 3.8kg,nano clean; nước xả vải; zeo,ZeO,https://shopee.vn/Nước-xả-vải-Nano-Clean-ZeO-Hương-hoa-trắng-xạ-hương-Mềm-vải-giảm-nhăn-thơm-lâu-Can-1kg-3.8kg-i.20523065.56612838999,True,2026-08-18 00:00:00
True,20119331885,Nước lau sàn ZeO Hương Ylang Ylang bạc hà Sạch bóng sàn khử mùi Can 1kg 3.8kg,ZeO,Nước lau sàn,33150,44200,0.25,STANDARD,Nước lau sàn ZeO Hương Ylang Ylang bạc hà Sạch bóng sàn khử mùi Can 1kg 3.8kg,nước lau sàn; zeo,ZeO,https://shopee.vn/Nước-lau-sàn-ZeO-Hương-Ylang-Ylang-bạc-hà-Sạch-bóng-sàn-khử-mùi-Can-1kg-3.8kg-i.20523065.20119331885,True,2026-08-18 00:00:00
True,17179798845,Chai xịt tẩy rửa đa năng Pano Hương trà xanh Đánh bay dầu mỡ vết bẩn đa bề mặt Chai 500ml,PANO,Tẩy rửa đa năng,46620,74000,0.37,STANDARD,Chai xịt tẩy rửa đa năng Pano Hương trà xanh Đánh bay dầu mỡ vết bẩn đa bề mặt Chai 500ml,pano; tẩy rửa đa năng,PANO,https://shopee.vn/Chai-xịt-tẩy-rửa-đa-năng-Pano-Hương-trà-xanh-Đánh-bay-dầu-mỡ-vết-bẩn-đa-bề-mặt-Chai-500ml-i.20523065.17179798845,True,2026-08-18 00:00:00
True,18919306037,Nước rửa chén Enzyme ZeO Hương chanh tự nhiên Sạch dầu mỡ khử mùi tanh dịu da tay Can 400g 800g 1.5kg,ZeO,Nước rửa chén,16900,26000,0.35,STANDARD,Nước rửa chén Enzyme ZeO Hương chanh tự nhiên Sạch dầu mỡ khử mùi tanh dịu da tay Can 400g 800g 1.5kg,nước rửa chén; zeo,ZeO,https://shopee.vn/Nước-rửa-chén-Enzyme-ZeO-Hương-chanh-tự-nhiên-Sạch-dầu-mỡ-khử-mùi-tanh-dịu-da-tay-Can-400g-800g-1.5kg-i.20523065.18919306037,True,2026-08-18 00:00:00
True,19325680023,Nước giặt 2in1 Oplus Hương nước hoa Pháp Sạch vết bẩn mềm vải lưu hương kép Túi 2.4kg,Oplus,Nước giặt,91257,172183,0.47,STANDARD,Nước giặt 2in1 Oplus Hương nước hoa Pháp Sạch vết bẩn mềm vải lưu hương kép Túi 2.4kg,2in1; nước giặt; oplus,Oplus,https://shopee.vn/Nước-giặt-2in1-Oplus-Hương-nước-hoa-Pháp-Sạch-vết-bẩn-mềm-vải-lưu-hương-kép-Túi-2.4kg-i.20523065.19325680023,True,2026-08-18 00:00:00
True,19419299602,Nước giặt Pano Hương nước hoa Pháp Sạch vết bẩn khử mùi lưu hương lâu Can 3.6kg,PANO,Nước giặt,131100,234107,0.44,STANDARD,Nước giặt Pano Hương nước hoa Pháp Sạch vết bẩn khử mùi lưu hương lâu Can 3.6kg,can 3.6kg; nước giặt; pano,PANO,https://shopee.vn/Nước-giặt-Pano-Hương-nước-hoa-Pháp-Sạch-vết-bẩn-khử-mùi-lưu-hương-lâu-Can-3.6kg-i.20523065.19419299602,True,2026-08-18 00:00:00
True,55813079469,Bột giặt ZeO Bọt Biển Hương táo dứa hoa nhài Sạch vết bẩn lưu hương kép Túi 720g 2.7kg,ZeO,Bột giặt,35100,54000,0.35,STANDARD,Bột giặt ZeO Bọt Biển Hương táo dứa hoa nhài Sạch vết bẩn lưu hương kép Túi 720g 2.7kg,bột giặt; zeo,ZeO,https://shopee.vn/Bột-giặt-ZeO-Bọt-Biển-Hương-táo-dứa-hoa-nhài-Sạch-vết-bẩn-lưu-hương-kép-Túi-720g-2.7kg-i.20523065.55813079469,True,2026-08-18 00:00:00
True,43251767103,Nước rửa chén Oplus Hương chanh tự nhiên Sạch dầu mỡ khử mùi tanh dịu da tay Bao bì nhiều lựa chọn,Oplus,Nước rửa chén,14300,22000,0.35,STANDARD,Nước rửa chén Oplus Hương chanh tự nhiên Sạch dầu mỡ khử mùi tanh dịu da tay Bao bì nhiều lựa chọn,nước rửa chén; oplus,Oplus,https://shopee.vn/Nước-rửa-chén-Oplus-Hương-chanh-tự-nhiên-Sạch-dầu-mỡ-khử-mùi-tanh-dịu-da-tay-Bao-bì-nhiều-lựa-chọn-i.20523065.43251767103,True,2026-08-18 00:00:00
